,axon.erate,axon.v,dend.erate,ih.erate,ikl.erate,soma.erate,soma.v,syn.erate,t
0,"[ 0.05399138  0.0539701   0.05395821 ...,  0.1001878   0.10042654
  0.09994231]","[-60.60132262 -60.60356077 -60.60679688 ..., -59.70600889 -59.70631087
 -59.70713444]","[ 64.25605621  64.2560592   64.2560718  ...,  61.39388835  61.3955539
  61.39723622]","[ 226.83909688  226.82277606  226.79529435 ...,  205.675821    205.68182226
  205.68377531]","[ 6.43723657  6.44513966  6.45846482 ...,  8.6198355   8.61812568
  8.61810858]","[ 169.44249049  169.4349644   169.42237639 ...,  153.74253007  153.74470847
  153.74508177]","[-60.59603052 -60.58839708 -60.57559073 ..., -59.60222606 -59.60401241
 -59.60321472]","[  0.00000000e+00   0.00000000e+00   0.00000000e+00 ...,  -1.09612646e-85
  -9.93362549e-86   3.48311608e-86]","[  1.99391752e-04   6.05744512e-04   1.33460577e-03 ...,   3.99545668e+02
   3.99819506e+02   4.00093344e+02]"
1,"[ 0.05399138  0.0539701   0.05395821 ...,  0.09998454  0.10017716
  0.10017564]","[-60.60132262 -60.60356077 -60.60679688 ..., -59.70953225 -59.70670147
 -59.70792098]","[ 64.25605621  64.2560592   64.2560718  ...,  61.31886552  61.34298736
  61.36485664]","[ 226.83909688  226.82277606  226.79529435 ...,  205.52076864  205.55568007
  205.59575367]","[ 6.43723657  6.44513966  6.45846482 ...,  8.61057324  8.61674295
  8.61733015]","[ 169.44249049  169.4349644   169.42237639 ...,  153.65061254  153.66944888
  153.68769406]","[-60.59603052 -60.58839708 -60.57559073 ..., -59.60635316 -59.60340067
 -59.60467575]","[  0.00000000e+00   0.00000000e+00   0.00000000e+00 ...,  -5.44153909e-50
  -5.10201126e-51  -4.78385075e-52]","[  1.99391752e-04   6.05744512e-04   1.33460577e-03 ...,   3.94167448e+02
   3.97453598e+02   4.00739748e+02]"
2,"[ 0.05399138  0.0539701   0.05395821 ...,  0.09999776  0.10023066
  0.10028498]","[-60.60132262 -60.60356077 -60.60679688 ..., -59.7087242  -59.70496542
 -59.70653567]","[ 64.25605621  64.2560592   64.2560718  ...,  61.32843235  61.36369653
  61.39420184]","[ 226.83909688  226.82277606  226.79529435 ...,  205.55423465  205.60577713
  205.65723063]","[ 6.43723657  6.44513966  6.45846482 ...,  8.60998528  8.61851713
  8.62186022]","[ 169.44249049  169.4349644   169.42237639 ...,  153.67441333  153.70186017
  153.72543081]","[-60.59603052 -60.58839708 -60.57559073 ..., -59.60549129 -59.60160957
 -59.60324014]","[  0.00000000e+00   0.00000000e+00   0.00000000e+00 ...,   2.16635497e-57
   1.38200522e-58   8.81683341e-60]","[  1.99391752e-04   6.05744512e-04   1.33460577e-03 ...,   3.93600409e+02
   3.98589825e+02   4.03579241e+02]"
3,"[ 0.05399138  0.0539701   0.05395821 ...,  0.09991145  0.10011879
  0.10021735]","[-60.60132262 -60.60356077 -60.60679688 ..., -59.71123066 -59.70763406
 -59.70564989]","[ 64.25605621  64.2560592   64.2560718  ...,  61.2120807   61.33657622
  61.49624547]","[ 226.83909688  226.82277606  226.79529435 ...,  205.33556025  205.54860198
  205.83124932]","[ 6.43723657  6.44513966  6.45846482 ...,  8.60492379  8.61479347
  8.61974429]","[ 169.44249049  169.4349644   169.42237639 ...,  153.56452671  153.66646287
  153.79656023]","[-60.59603052 -60.58839708 -60.57559073 ..., -59.60809822 -59.60436553
 -59.60230494]","[  0.00000000e+00   0.00000000e+00   0.00000000e+00 ...,   2.93589708e-55
   5.75949381e-57   5.73965461e-59]","[  1.99391752e-04   6.05744512e-04   1.33460577e-03 ...,   3.80820811e+02
   3.97811121e+02   4.31587197e+02]"
4,"[ 0.05399138  0.0539701   0.05395821 ...,  0.10008622  0.10005211
  0.10023388]","[-60.60132262 -60.60356077 -60.60679688 ..., -59.70816094 -59.70855873
 -59.70582036]","[ 64.25605621  64.2560592   64.2560718  ...,  61.26622626  61.33093728
  61.38741606]","[ 226.83909688  226.82277606  226.79529435 ...,  205.44589454  205.56304922
  205.6515568 ]","[ 6.43723657  6.44513966  6.45846482 ...,  8.61210263  8.61188169
  8.61962714]","[ 169.44249049  169.4349644   169.42237639 ...,  153.63026545  153.68272599
  153.72466593]","[-60.59603052 -60.58839708 -60.57559073 ..., -59.60492358 -59.60532687
 -59.60249262]","[  0.00000000e+00   0.00000000e+00   0.00000000e+00 ...,  -6.40860699e-64
  -2.40295087e-65  -9.00975468e-67]","[  1.99391752e-04   6.05744512e-04   1.33460577e-03 ...,   3.85420997e+02
   3.94148634e+02   4.02876271e+02]"
5,"[ 0.05399138  0.0539701   0.05395821 ...,  0.10011097  0.10017061
  0.10017572]","[-60.60132262 -60.60356077 -60.60679688 ..., -59.70775448 -59.70675598
 -59.70700632]","[ 64.25605621  64.2560592   64.2560718  ...,  61.37294728  61.38514165
  61.42220658]","[ 226.83909688  226.82277606  226.79529435 ...,  205.61563293  205.63460665
  205.70058552]","[ 6.43723657  6.44513966  6.45846482 ...,  8.61526111  8.61716091
  8.6178765 ]","[ 169.44249049  169.4349644   169.42237639 ...,  153.69749491  153.70691549
  153.73669546]","[-60.59603052 -60.58839708 -60.57559073 ..., -59.60448389 -59.60345757
 -59.6037143 ]","[  0.00000000e+00   0.00000000e+00   0.00000000e+00 ...,  -5.35943652e-84
  -8.31601488e-85  -4.22466423e-86]","[  1.99391752e-04   6.05744512e-04   1.33460577e-03 ...,   3.94598913e+02
   3.96450089e+02   4.02802765e+02]"
6,"[ 0.05399138  0.0539701   0.05395821 ...,  0.10023946  0.10013928
  0.10031291]","[-60.60132262 -60.60356077 -60.60679688 ..., -59.70553839 -59.7072462
 -59.70439916]","[ 64.25605621  64.2560592   64.2560718  ...,  61.36011103  61.39969542
  61.43602018]","[ 226.83909688  226.82277606  226.79529435 ...,  205.61810411  205.69146208
  205.7432833 ]","[ 6.43723657  6.44513966  6.45846482 ...,  8.61883482  8.61614613
  8.62316526]","[ 169.44249049  169.4349644   169.42237639 ...,  153.71765596  153.74799693
  153.77257476]","[-60.59603052 -60.58839708 -60.57559073 ..., -59.60220158 -59.60396508
 -59.60101711]","[  0.00000000e+00   0.00000000e+00   0.00000000e+00 ...,   2.68737908e-63
   1.35858435e-64   6.86791867e-66]","[  1.99391752e-04   6.05744512e-04   1.33460577e-03 ...,   3.93302555e+02
   3.99688064e+02   4.06073572e+02]"
7,"[ 0.05399138  0.0539701   0.05395821 ...,  0.10001542  0.100152    0.10018406]","[-60.60132262 -60.60356077 -60.60679688 ..., -59.70941004 -59.70708206
 -59.70736248]","[ 64.25605621  64.2560592   64.2560718  ...,  61.31190767  61.34566282
  61.37621023]","[ 226.83909688  226.82277606  226.79529435 ...,  205.51224353  205.56583035
  205.61874061]","[ 6.43723657  6.44513966  6.45846482 ...,  8.61085897  8.6159565
  8.61783172]","[ 169.44249049  169.4349644   169.42237639 ...,  153.6493059   153.67591958
  153.70025492]","[-60.59603052 -60.58839708 -60.57559073 ..., -59.60621359 -59.60379786
 -59.60409056]","[  0.00000000e+00   0.00000000e+00   0.00000000e+00 ...,  -4.41858579e-56
  -3.00062104e-57  -2.03774492e-58]","[  1.99391752e-04   6.05744512e-04   1.33460577e-03 ...,   3.91122043e+02
   3.95788593e+02   4.00455143e+02]"
8,"[ 0.05399138  0.0539701   0.05395821 ...,  0.09996948  0.1003153
  0.10001387]","[-60.60132262 -60.60356077 -60.60679688 ..., -59.7091295  -59.70484704
 -59.7084607 ]","[ 64.25605621  64.2560592   64.2560718  ...,  61.26044928  61.34289673
  61.41209688]","[ 226.83909688  226.82277606  226.79529435 ...,  205.43849487  205.56759393
  205.7052436 ]","[ 6.43723657  6.44513966  6.45846482 ...,  8.60766929  8.62204241
  8.61175784]","[ 169.44249049  169.4349644   169.42237639 ...,  153.62358835  153.68790571
  153.74436089]","[-60.59603052 -60.58839708 -60.57559073 ..., -59.60591689 -59.60149823
 -59.6052214 ]","[  0.00000000e+00   0.00000000e+00   0.00000000e+00 ...,  -3.50021891e-54
  -3.42547848e-55   3.29636893e-56]","[  1.99391752e-04   6.05744512e-04   1.33460577e-03 ...,   3.87261505e+02
   3.97735662e+02   4.08209819e+02]"
9,"[ 0.05399138  0.0539701   0.05395821 ...,  0.09992701  0.10005395
  0.10077136]","[-60.60132262 -60.60356077 -60.60679688 ..., -59.71123575 -59.70442106
 -59.70045513]","[ 64.25605621  64.2560592   64.2560718  ...,  61.37009745  61.38611947
  61.40158789]","[ 226.83909688  226.82277606  226.79529435 ...,  205.64288439  205.65793081
  205.66658315]","[ 6.43723657  6.44513966  6.45846482 ...,  8.61172261  8.61513642
  8.63269011]","[ 169.44249049  169.4349644   169.42237639 ...,  153.72198289  153.72843386
  153.74193369]","[-60.59603052 -60.58839708 -60.57559073 ..., -59.60812979 -59.60092822
 -59.59696407]","[  0.00000000e+00   0.00000000e+00   0.00000000e+00 ...,   6.27478986e-67
   1.51279206e-67  -1.37650188e-69]","[  1.99391752e-04   6.05744512e-04   1.33460577e-03 ...,   3.95756374e+02
   3.98003531e+02   4.00250687e+02]"
10,"[ 0.05399138  0.0539701   0.05395821 ...,  0.10013432  0.10005022
  0.10020703]","[-60.60132262 -60.60356077 -60.60679688 ..., -59.7072672  -59.70863883
 -59.7060983 ]","[ 64.25605621  64.2560592   64.2560718  ...,  61.29737077  61.33559327
  61.37126983]","[ 226.83909688  226.82277606  226.79529435 ...,  205.49663561  205.56901157
  205.62346204]","[ 6.43723657  6.44513966  6.45846482 ...,  8.61376426  8.6118574
  8.61818495]","[ 169.44249049  169.4349644   169.42237639 ...,  153.65229337  153.68401029
  153.7109633 ]","[-60.59603052 -60.58839708 -60.57559073 ..., -59.60399268 -59.60541267
 -59.60277898]","[  0.00000000e+00   0.00000000e+00   0.00000000e+00 ...,  -1.41283320e-50
  -8.61260944e-52  -5.25003906e-53]","[  1.99391752e-04   6.05744512e-04   1.33460577e-03 ...,   3.91865636e+02
   3.97103108e+02   4.02340580e+02]"
11,"[ 0.05399138  0.0539701   0.05395821 ...,  0.10007928  0.10028885
  0.10010619]","[-60.60132262 -60.60356077 -60.60679688 ..., -59.70701367 -59.70575366
 -59.70940961]","[ 64.25605621  64.2560592   64.2560718  ...,  61.28832497  61.34394474
  61.39201427]","[ 226.83909688  226.82277606  226.79529435 ...,  205.49348396  205.57870041
  205.66935088]","[ 6.43723657  6.44513966  6.45846482 ...,  8.61195511  8.62144435
  8.61584132]","[ 169.44249049  169.4349644   169.42237639 ...,  153.65646831  153.69681108
  153.73186101]","[-60.59603052 -60.58839708 -60.57559073 ..., -59.6037321  -59.60243284
 -59.60619447]","[  0.00000000e+00   0.00000000e+00   0.00000000e+00 ...,  -1.29912096e-62
  -5.38038879e-64  -2.22843336e-65]","[  1.99391752e-04   6.05744512e-04   1.33460577e-03 ...,   3.88099186e+02
   3.95968447e+02   4.03837708e+02]"
12,"[ 0.05399138  0.0539701   0.05395821 ...,  0.09993049  0.10012633
  0.10029653]","[-60.60132262 -60.60356077 -60.60679688 ..., -59.71040399 -59.70613344
 -59.70591238]","[ 64.25605621  64.2560592   64.2560718  ...,  61.27453949  61.31501387
  61.35047505]","[ 226.83909688  226.82277606  226.79529435 ...,  205.47532675  205.53688519
  205.59123104]","[ 6.43723657  6.44513966  6.45846482 ...,  8.60709393  8.61401568
  8.62139512]","[ 169.44249049  169.4349644   169.42237639 ...,  153.64498124  153.67596788
  153.70268246]","[-60.59603052 -60.58839708 -60.57559073 ..., -59.60723212 -59.60281612
 -59.60259879]","[  0.00000000e+00   0.00000000e+00   0.00000000e+00 ...,   4.52252872e-57
   2.82981109e-58   1.77072067e-59]","[  1.99391752e-04   6.05744512e-04   1.33460577e-03 ...,   3.90255516e+02
   3.95349039e+02   4.00442562e+02]"
13,"[ 0.05399138  0.0539701   0.05395821 ...,  0.10024636  0.10019417
  0.09996672]","[-60.60132262 -60.60356077 -60.60679688 ..., -59.70571521 -59.70877935
 -59.70950523]","[ 64.25605621  64.2560592   64.2560718  ...,  61.34760627  61.3796349
  61.41075865]","[ 226.83909688  226.82277606  226.79529435 ...,  205.55955049  205.61910975
  205.68382802]","[ 6.43723657  6.44513966  6.45846482 ...,  8.61913014  8.61885501
  8.61053276]","[ 169.44249049  169.4349644   169.42237639 ...,  153.67174033  153.69737427
  153.72242601]","[-60.59603052 -60.58839708 -60.57559073 ..., -59.60238574 -59.60555915
 -59.60628757]","[  0.00000000e+00   0.00000000e+00   0.00000000e+00 ...,  -9.05023680e-66
  -5.62134430e-67  -3.49149412e-68]","[  1.99391752e-04   6.05744512e-04   1.33460577e-03 ...,   3.92931452e+02
   3.98065504e+02   4.03199556e+02]"
14,"[ 0.05399138  0.0539701   0.05395821 ...,  0.09996679  0.10031006
  0.10001425]","[-60.60132262 -60.60356077 -60.60679688 ..., -59.70918526 -59.70492536
 -59.70846583]","[ 64.25605621  64.2560592   64.2560718  ...,  61.25916016  61.34190569
  61.41135272]","[ 226.83909688  226.82277606  226.79529435 ...,  205.43441896  205.5645295
  205.70261704]","[ 6.43723657  6.44513966  6.45846482 ...,  8.60754545  8.62182553
  8.61175198]","[ 169.44249049  169.4349644   169.42237639 ...,  153.62063193  153.68555719
  153.74246211]","[-60.59603052 -60.58839708 -60.57559073 ..., -59.60597482 -59.60157926
 -59.6052268 ]","[  0.00000000e+00   0.00000000e+00   0.00000000e+00 ...,  -4.90721416e-54
  -4.79745656e-55   4.61997448e-56]","[  1.99391752e-04   6.05744512e-04   1.33460577e-03 ...,   3.87098859e+02
   3.97583765e+02   4.08068670e+02]"
15,"[ 0.05399138  0.0539701   0.05395821 ...,  0.10007583  0.10017487
  0.10027166]","[-60.60132262 -60.60356077 -60.60679688 ..., -59.70839873 -59.70669848
 -59.70489595]","[ 64.25605621  64.2560592   64.2560718  ...,  61.3213961   61.38104271
  61.51421805]","[ 226.83909688  226.82277606  226.79529435 ...,  205.53983895  205.639245
  205.8662398 ]","[ 6.43723657  6.44513966  6.45846482 ...,  8.61263366  8.61730128
  8.62225581]","[ 169.44249049  169.4349644   169.42237639 ...,  153.66981652  153.71586129
  153.81671292]","[-60.59603052 -60.58839708 -60.57559073 ..., -59.60516085 -59.60339826
 -59.60152395]","[  0.00000000e+00   0.00000000e+00   0.00000000e+00 ...,   2.49885595e-59
   9.04324459e-61   1.00089610e-62]","[  1.99391752e-04   6.05744512e-04   1.33460577e-03 ...,   3.90641409e+02
   3.99696102e+02   4.30074345e+02]"
16,"[ 0.05399138  0.0539701   0.05395821 ...,  0.10012784  0.10004803
  0.1001823 ]","[-60.60132262 -60.60356077 -60.60679688 ..., -59.70817133 -59.70890944
 -59.70658862]","[ 64.25605621  64.2560592   64.2560718  ...,  61.30705228  61.32632147
  61.35797798]","[ 226.83909688  226.82277606  226.79529435 ...,  205.51308209  205.54985282
  205.59857119]","[ 6.43723657  6.44513966  6.45846482 ...,  8.61432438  8.61234151
  8.61730164]","[ 169.44249049  169.4349644   169.42237639 ...,  153.65914456  153.67436349
  153.69805084]","[-60.59603052 -60.58839708 -60.57559073 ..., -59.60493532 -59.60569389
 -59.6032852 ]","[  0.00000000e+00   0.00000000e+00   0.00000000e+00 ...,  -2.69248666e-51
  -3.10258434e-52  -2.17597023e-53]","[  1.99391752e-04   6.05744512e-04   1.33460577e-03 ...,   3.94994601e+02
   3.97605200e+02   4.02112919e+02]"
17,"[ 0.05399138  0.0539701   0.05395821 ...,  0.10026463  0.10022433
  0.10010277]","[-60.60132262 -60.60356077 -60.60679688 ..., -59.70570023 -59.70694057
 -59.70719744]","[ 64.25605621  64.2560592   64.2560718  ...,  61.39372414  61.40078969
  61.40778815]","[ 226.83909688  226.82277606  226.79529435 ...,  205.65892323  205.67383864
  205.68755573]","[ 6.43723657  6.44513966  6.45846482 ...,  8.62128752  8.6197516
  8.61755906]","[ 169.44249049  169.4349644   169.42237639 ...,  153.72746166  153.73318734
  153.73755626]","[-60.59603052 -60.58839708 -60.57559073 ..., -59.60231554 -59.60370891
 -59.60390201]","[  0.00000000e+00   0.00000000e+00   0.00000000e+00 ...,  -1.04071906e-73
   1.75358126e-74   1.76490104e-74]","[  1.99391752e-04   6.05744512e-04   1.33460577e-03 ...,   3.98047949e+02
   3.99216048e+02   4.00384147e+02]"
18,"[ 0.05399138  0.0539701   0.05395821 ...,  0.09992048  0.10011959
  0.10022059]","[-60.60132262 -60.60356077 -60.60679688 ..., -59.71109033 -59.70763158
 -59.70562512]","[ 64.25605621  64.2560592   64.2560718  ...,  61.19959099  61.32421919
  61.48670938]","[ 226.83909688  226.82277606  226.79529435 ...,  205.33643475  205.54515545
  205.82587355]","[ 6.43723657  6.44513966  6.45846482 ...,  8.6051852   8.61471694
  8.61981126]","[ 169.44249049  169.4349644   169.42237639 ...,  153.57810235  153.6751648
  153.80070749]","[-60.59603052 -60.58839708 -60.57559073 ..., -59.60795251 -59.60436293
 -59.6022793 ]","[  0.00000000e+00   0.00000000e+00   0.00000000e+00 ...,   1.48606294e-55
   2.98997381e-57   3.02023479e-59]","[  1.99391752e-04   6.05744512e-04   1.33460577e-03 ...,   3.81259638e+02
   3.97817038e+02   4.31134891e+02]"
19,"[ 0.05399138  0.0539701   0.05395821 ...,  0.10010151  0.10015545
  0.10018269]","[-60.60132262 -60.60356077 -60.60679688 ..., -59.70795149 -59.70725593
 -59.70662758]","[ 64.25605621  64.2560592   64.2560718  ...,  61.33591402  61.37916038
  61.41813312]","[ 226.83909688  226.82277606  226.79529435 ...,  205.54194047  205.6172001
  205.68558714]","[ 6.43723657  6.44513966  6.45846482 ...,  8.61391701  8.61663153
  8.61816592]","[ 169.44249049  169.4349644   169.42237639 ...,  153.65915613  153.69469298
  153.72633937]","[-60.59603052 -60.58839708 -60.57559073 ..., -59.60470092 -59.60397771
 -59.60332339]","[  0.00000000e+00   0.00000000e+00   0.00000000e+00 ...,   3.13813054e-61
   1.54364942e-62   7.59324481e-64]","[  1.99391752e-04   6.05744512e-04   1.33460577e-03 ...,   3.93362452e+02
   3.99934301e+02   4.06506151e+02]"
