,grad<0,grad>0,uniform
230.0,0.0,0.04,0.0
231.0,0.0,0.04,0.0
232.0,0.0,0.04,0.0
233.0,0.0,0.04,0.04
234.0,0.0,0.04,0.04
235.0,0.0,0.04,0.04
236.0,0.0,0.04,0.04
237.0,0.0,0.36,0.04
238.0,0.04,0.52,0.04
239.0,0.04,0.52,0.04
240.0,0.04,0.52,0.04
241.0,0.04,0.52,0.4
242.0,0.04,0.92,0.04
243.0,0.04,1.0,0.52
244.0,0.04,1.0,0.52
245.0,0.04,1.0,0.56
246.0,0.52,1.0,0.64
247.0,0.52,1.0,1.0
248.0,0.52,1.0,1.0
249.0,0.52,1.0,1.0
250.0,0.64,1.0,1.0
251.0,1.0,1.0,1.0
252.0,1.0,1.0,1.0
253.0,1.0,1.0,1.0
254.0,1.0,1.0,1.0
255.0,1.0,1.0,1.0
256.0,1.0,1.0,1.0
257.0,1.0,1.0,1.0
258.0,1.0,1.0,1.0
259.0,1.0,1.0,1.0
